rect_count,car_count,total cost,cars used count,running time,GLOBAL_TIME_LIMIT_PER_ITER,time_exceeded_count
5,3,950,1,0.0009965896606445312,1,0
6,3,350,1,0.002023935317993164,1,0
7,4,450,1,0.0009701251983642578,1,0
8,4,100,1,0.0070111751556396484,1,0
9,4,1550,2,0.0019638538360595703,1,0
10,3,1000,1,0.0059850215911865234,1,0
11,5,750,1,0.010008096694946289,1,0
12,5,700,2,0.007977485656738281,1,0
13,4,450,1,0.017922639846801758,1,0
14,5,1550,2,0.013993024826049805,1,0
15,6,250,1,0.029920578002929688,1,0
16,6,1050,2,0.011966466903686523,1,0
17,6,1300,2,0.026898622512817383,1,0
18,8,150,1,0.08181118965148926,1,0
19,9,1650,3,0.007977962493896484,1,0
20,9,400,1,0.08374667167663574,1,0
21,8,950,2,0.02994990348815918,1,0
22,8,350,1,0.13962602615356445,1,0
23,8,750,1,0.12865638732910156,1,0
24,9,100,1,0.19148874282836914,1,0
25,10,400,1,0.21941375732421875,1,0
26,10,800,2,0.04188656806945801,1,0
27,10,350,1,0.24733829498291016,1,0
28,9,700,1,0.29620909690856934,1,0
29,11,150,1,0.2702765464782715,1,0
30,11,900,3,0.023936033248901367,1,0
31,10,550,1,0.39092373847961426,1,0
32,12,1200,2,0.15960431098937988,1,0
33,14,350,2,0.07878828048706055,1,0
34,12,750,2,0.22835946083068848,1,0
35,11,1600,3,0.05089378356933594,1,0
36,12,1200,4,0.027926921844482422,1,0
37,12,900,3,0.07180666923522949,1,0
38,12,1050,3,0.11067414283752441,1,0
39,16,3200,5,0.03294110298156738,1,0
40,14,1250,3,0.10668540000915527,1,0
41,15,600,1,0.7510180473327637,1,0
42,14,700,4,0.07679462432861328,1,0
43,17,1100,3,0.08677124977111816,1,0
44,18,1000,2,0.7280542850494385,1,0
45,17,950,3,0.08676791191101074,1,0
46,17,1150,4,0.12862515449523926,1,0
47,16,700,3,0.13167977333068848,1,0
48,18,1250,3,0.3500652313232422,1,0
49,15,600,3,0.16356205940246582,1,0
50,18,1750,5,0.05184769630432129,1,0
51,18,2000,5,0.13166475296020508,1,0
52,17,1750,4,0.1605672836303711,1,0
53,20,950,2,0.9414529800415039,1,0
54,18,2600,5,0.08879280090332031,1,0
60,23,2550,6,0.16456127166748047,1,0
90,29,1150,5,0.48470187187194824,1,0
120,44,2300,7,0.578453779220581,1,0
150,53,3700,12,0.38795924186706543,1,0
180,64,1700,7,1.9228601455688477,1,0
210,72,4200,15,1.7423412799835205,1,0
240,81,3450,8,7.888903617858887,1,0
270,93,6050,17,1.395240306854248,1,0
300,110,4450,13,3.26130747795105,1,0
330,110,4000,16,2.6150062084198,1,0
350,122,3150,12,5.420504570007324,1,0
400,135,5950,22,1.7851955890655518,1,0
450,158,6150,21,4.595740079879761,1,0
500,167,8400,35,1.456106185913086,1,0
550,196,6850,27,2.982020139694214,1,0
600,200,8250,29,6.2024290561676025,1,0
650,231,7150,28,17.420416831970215,1,0
700,239,8800,34,6.235327243804932,1,0
750,250,13350,42,4.896902799606323,1,0
800,270,9650,42,5.524221658706665,1,0
850,299,9200,38,8.584045886993408,1,0
900,318,13250,41,11.084355592727661,1,0
950,335,16550,59,3.613340139389038,1,0
1000,346,11800,48,8.723676919937134,1,0
