n_rect,n_car,cost,n_car_used,time_limit,time_running
5,3,350.0,1,300.0,0.07
6,3,350.0,1,300.0,0.08
7,4,450.00000000000034,1,300.0,0.09
8,4,100.0,1,300.0,0.12
9,4,1550.0000000000005,2,300.0,3.23
10,3,900.0,1,300.0,0.63
11,5,750.0000000000003,1,300.0,0.17
12,5,550.0,1,300.0,300.16
13,4,450.0,1,300.0,0.66
14,5,1850.0,3,300.0,300.15
15,6,200.0,1,300.0,3.44
16,6,1050.0,2,300.0,300.17
17,6,1300.0,2,300.0,300.16
18,8,150.0,1,300.0,9.31
19,9,900.0,3,300.0,300.19
20,9,400.0,1,300.0,300.18
21,8,950.0,2,300.0,300.19
22,8,350.0,1,300.0,42.61
23,8,750.0,1,300.0,77.97
24,9,100.0,1,300.0,130.52
25,10,999.9999999999993,2,300.0,300.27
26,10,950.0,3,300.0,300.28
27,10,3350.0,5,300.0,300.31
28,9,3350.0,5,300.0,300.31
29,11,150.0,1,300.0,262.91
30,11,1450.0000000000007,3,300.0,300.35
31,10,2400.0,5,300.0,300.35
32,12,4550.000000000001,8,300.0,300.40
33,14,7550.0,14,300.0,300.42
34,12,5100.0,11,300.0,300.41
35,11,4500.0,7,300.0,300.43
36,12,5650.000000000001,11,300.0,300.42
37,12,3850.0,8,300.0,300.47
38,12,4600.0,9,300.0,300.60
39,16,9800.0,15,300.0,300.73
40,14,8000.0,13,300.0,300.52
41,15,,13,300.0,300.68
42,14,,13,300.0,301.05
43,17,5000.0,10,300.0,300.61
44,18,3150.0,6,300.0,300.68
45,17,,6,300.0,300.64
46,17,,6,300.0,300.70
47,16,7400.0,16,300.0,300.68
48,18,,16,300.0,300.81
49,15,,16,300.0,302.51
50,18,,16,300.0,302.53
51,18,,16,300.0,303.15
52,17,,16,300.0,301.16
53,20,12300.0,20,300.0,301.11
54,18,,20,300.0,
60,23,,20,300.0,300.91
90,29,,20,300.0,302.21
120,44,,20,300.0,315.59
150,53,,20,300.0,344.53
180,64,,20,300.0,365.69
210,72,,20,300.0,311.69
240,81,,20,300.0,312.47
270,93,,20,300.0,315.82
300,110,,20,300.0,323.02
330,110,,20,300.0,325.39
350,122,,20,300.0,330.65
400,135,,20,300.0,348.23
450,158,,20,300.0,355.35
500,167,,20,300.0,459.86
550,196,1,exited,300.0,155.63
600,200,by,terminated,300.0,32.36
650,231,by,terminated,300.0,1.43
700,239,by,terminated,300.0,1.05
750,250,by,terminated,300.0,0.48
800,270,by,terminated,300.0,0.35
850,299,by,terminated,300.0,0.38
900,318,by,terminated,300.0,0.34
950,335,by,terminated,300.0,0.39
1000,346,by,terminated,300.0,1.39
7,3,250.0,2,300.0,2.51
