n_rect,n_car,cost,n_car_used,time_limit,time_running
5,3,350.0,1,300.0,0.08s
6,3,350.0,1,300.0,0.07s
7,4,450.0,1,300.0,0.09s
8,4,100.0,1,300.0,0.10s
9,4,1550.0,2,300.0,0.15s
10,3,900.0,1,300.0,0.15s
11,5,750.0,1,300.0,0.19s
12,5,550.0,1,300.0,1185.81s
13,4,450.0,1,300.0,0.25s
14,5,1550.0,2,300.0,4.69s
15,6,200.0,1,300.0,0.32s
16,6,1050.0,2,300.0,1197.98s
17,6,1150.0,2,300.0,1195.21s
18,8,150.0,1,300.0,0.52s
19,9,900.0,3,300.0,1185.90s
20,9,400.0,1,300.0,1194.96s
21,8,950.0,2,300.0,1183.75s
22,8,350.0,1,300.0,0.71s
23,8,750.0,1,300.0,0.56s
24,9,100.0,1,300.0,0.63s
25,10,400.0,1,300.0,0.68s
26,10,500.0,2,300.0,1196.07s
27,10,350.0,1,300.0,1.48s
28,9,600.0,2,300.0,1195.35s
29,11,150.0,1,300.0,1.03s
30,11,900.0,3,300.0,1182.90s
31,10,550.0,1,300.0,29.43s
32,12,1200.0,2,300.0,1197.04s
33,14,350.0,2,300.0,1196.42s
34,12,750.0,2,300.0,1197.18s
35,11,1550.0,3,300.0,1197.30s
36,12,1200.0,4,300.0,1192.08s
37,12,750.0,3,300.0,1195.98s
38,12,1050.0,3,300.0,1197.10s
39,16,2850.0,5,300.0,1196.47s
40,14,1250.0,3,300.0,1182.90s
41,15,600.0,1,300.0,36.14s
42,14,700.0,4,300.0,1196.36s
43,17,1050.0,3,300.0,1196.44s
44,18,400.0,2,300.0,1193.18s
45,17,950.0,3,300.0,1195.63s
46,17,1150.0,4,300.0,1196.68s
47,16,650.0,4,300.0,1193.39s
48,18,1000.0,3,300.0,1197.01s
49,15,600.0,3,300.0,1195.64s
50,18,1750.0,5,300.0,1196.87s
51,18,1750.0,3,300.0,1196.70s
52,17,1500.0,3,300.0,1188.10s
53,20,650.0,2,300.0,1120.13s
54,18,2250.0,5,300.0,1191.02s
60,23,2200.0,5,300.0,1191.91s
90,29,1000.0,5,300.0,1188.00s
120,44,2300.0,7,300.0,1188.88s
150,53,3550.0,12,300.0,1181.04s
180,64,2000.0,6,300.0,1173.79s
210,72,6400.0,18,300.0,1167.09s
240,81,4850.0,8,300.0,1157.09s
270,93,7600.0,14,300.0,1151.38s
300,110,6000.0,13,300.0,1131.03s
330,110,11450.0,27,300.0,1119.26s
350,122,11700.0,26,300.0,1114.34s
400,135,-9,,300.0,1035.19s
450,158,-9,,300.0,1065.43s
500,167,-9,,300.0,1011.94s
550,196,-9,,300.0,919.05s
600,200,-9,,300.0,1035.19s
650,231,-9,,300.0,1065.43s
700,239,-9,,300.0,1011.94s
750,250,-9,,300.0,919.05s
800,270,-9,,300.0,890.02s
850,299,-9,,300.0,405.83s
900,318,-9,,300.0,381.33s
950,335,-9,,300.0,415.04s
1000,346,-9,,300.0,373.16s
7,3,250.0,2,300.0,0.31s
