n_rect,n_car,cost,n_car_used,time_limit,time_running
5,3,350,1,120,0.07
6,3,350,1,120,0.07
7,4,450,1,120,0.08
8,4,100,1,120,0.09
9,4,1550,2,120,0.1
10,3,900,1,120,0.11
11,5,750,1,120,0.12
12,5,550,1,120,120.11
13,4,450,1,120,0.24
14,5,1550,2,120,1.41
15,6,200,1,120,0.3
16,6,1050,2,120,120.21
17,6,1150,2,120,120.24
18,8,150,1,120,0.4
19,9,900,3,120,120.27
20,9,400,1,120,120.31
21,8,950,2,120,120.32
22,8,350,1,120,0.53
23,8,750,1,120,0.52
24,9,100,1,120,0.54
25,10,400,1,120,0.59
26,10,500,2,120,120.37
27,10,350,1,120,0.86
28,9,600,2,120,120.43
29,11,150,1,120,0.85
30,11,900,3,120,120.5
31,10,550,1,120,6.16
32,12,1200,2,120,120.61
33,14,350,2,120,120.62
34,12,750,2,120,120.64
35,11,1550,3,120,120.64
36,12,1200,4,120,120.71
37,12,750,3,120,120.71
38,12,1050,3,120,120.74
39,16,2850,5,120,120.81
40,14,1250,3,120,120.84
41,15,600,1,120,11.59
42,14,700,4,120,120.96
43,17,1050,3,120,121.05
44,18,400,2,120,121.13
45,17,950,3,120,121.01
46,17,1150,4,120,121.04
47,16,650,4,120,121.08
48,18,1000,3,120,121.13
49,15,600,3,120,121.18
50,18,1750,5,120,121.22
51,18,1750,3,120,121.23
52,17,1500,3,120,121.26
53,20,650,2,120,121.39
54,18,2350,5,120,121.35
60,23,2100,5,120,121.67
90,29,1050,6,120,123.27
120,44,3050,8,120,125.76
150,53,4700,12,120,128.73
180,64,3100,10,120,132.62
210,72,7850,20,120,137.8
240,81,6400,12,120,142.27
270,93,9600,17,120,147.97
300,110,35650,60,120,155.31
330,110,32700,64,120,161.76
350,122,36450,65,120,167.71
135,400,,,120,187.9
158,450,,,120,204.39
167,500,,,120,222.52
196,550,,,120,234.08
200,600,,,120,252.43
231,650,,,120,289.77
239,700,,,120,321.15
250,750,,,120,351.54
270,800,,,120,379.11
299,850,,,120,650.4
318,900,,,120,608.22
335,950,,,120,472.5
346,1000,,,120,660.4
7,3,250,2,120,49.32
