n_rect,n_car,cost,n_car_used,time_limit,time_running
5,3,350,1,300,0.07
6,3,350,1,300,0.08
7,4,450,1,300,0.09
8,4,100,1,300,0.12
9,4,1550,2,300,3.23
10,3,900,1,300,0.63
11,5,750,1,300,0.17
12,5,550,1,300,300.16
13,4,450,1,300,0.66
14,5,1850,3,300,300.15
15,6,200,1,300,3.44
16,6,1050,2,300,300.17
17,6,1300,2,300,300.16
18,8,150,1,300,9.31
19,9,900,3,300,300.19
20,9,400,1,300,300.18
21,8,950,2,300,300.19
22,8,350,1,300,42.61
23,8,750,1,300,77.97
24,9,100,1,300,130.52
25,10,1000,2,300,300.27
26,10,950,3,300,300.28
27,10,3350,5,300,300.31
28,9,3350,5,300,300.31
29,11,150,1,300,262.91
30,11,1450,3,300,300.35
31,10,2400,5,300,300.35
32,12,4550,8,300,300.4
33,14,7550,14,300,300.42
34,12,5100,11,300,300.41
35,11,4500,7,300,300.43
36,12,5650,11,300,300.42
37,12,3850,8,300,300.47
38,12,4600,9,300,300.6
39,16,9800,15,300,300.73
40,14,8000,13,300,300.52
41,15,,,300,300.68
42,14,,,300,301.05
43,17,5000,10,300,300.61
44,18,3150,6,300,300.68
45,17,,,300,300.64
46,17,,,300,300.7
47,16,7400,16,300,300.68
48,18,,,300,300.81
49,15,,,300,302.51
50,18,,,300,302.53
51,18,,,300,303.15
52,17,,,300,301.16
53,20,12300,20,300,301.11
54,18,,,300,
60,23,,,300,
90,29,,,300,
120,44,,,300,
150,53,,,300,
180,64,,,300,
210,72,,,300,
240,81,,,300,
270,93,,,300,
300,110,,,300,
330,110,,,300,
350,122,,,300,
400,135,,,300,
450,158,,,300,
500,167,,,300,
550,196,,,300,
600,200,,,300,
650,231,,,300,
700,239,,,300,
750,250,,,300,
800,270,,,300,
850,299,,,300,
900,318,,,300,
950,335,,,300,
1000,346,,,300,
7,3,250,2,300,2.61
