n_rect,n_car,cost,n_car_used,time_limit,time_running
60,23,,,300,300.91
90,29,,,300,302.21
120,44,,,300,315.59
150,53,,,300,344.53
180,64,,,300,365.69
210,72,,,300,311.69
240,81,,,300,312.47
270,93,,,300,315.82
300,110,,,300,323.02
330,110,,,300,325.39
350,122,,,300,330.65
400,135,,,300,348.23
450,158,,,300,355.35
500,167,,,300,459.86
550,196,,,300,485.63
600,200,,,300,
650,231,,,300,
700,239,,,300,
750,250,,,300,
800,270,,,300,
850,299,,,300,
900,318,,,300,
950,335,,,300,
1000,346,,,300,
7,3,250,2,300,2.51
