rectangle1 car13 1, 11 0
rectangle2 car15 1, 12 0
rectangle3 car13 1, 1 0
rectangle4 car13 0, 6 2
rectangle5 car6 1, 1 0
rectangle6 car13 0, 9 1
rectangle7 car13 0, 6 0
rectangle8 car6 0, 1 4
rectangle9 car13 0, 10 3
rectangle10 car13 0, 1 2
rectangle11 car15 1, 0 12
rectangle12 car15 1, 0 5
rectangle13 car13 1, 3 4
rectangle14 car15 1, 0 3
rectangle15 car15 1, 3 12
rectangle16 car13 0, 6 3
rectangle17 car13 1, 10 4
rectangle18 car15 0, 4 8
rectangle19 car13 0, 0 0
rectangle20 car15 0, 6 5
rectangle21 car15 1, 3 3
rectangle22 car15 1, 1 11
rectangle23 car15 1, 13 0
rectangle24 car15 1, 6 10
rectangle25 car17 1, 0 0
rectangle26 car15 1, 0 11
rectangle27 car15 0, 10 5
rectangle28 car15 0, 4 0
rectangle29 car15 1, 0 0
rectangle30 car15 1, 7 11
rectangle31 car15 0, 1 5
rectangle32 car15 1, 12 12
rectangle33 car15 0, 6 8
rectangle34 car15 1, 7 5
rectangle35 car15 1, 15 9
rectangle36 car13 0, 9 0
rectangle37 car15 1, 6 3
rectangle38 car15 0, 8 10
rectangle39 car15 1, 15 4
rectangle40 car17 1, 2 0
rectangle41 car15 0, 12 10
rectangle42 car15 0, 7 0
rectangle43 car13 0, 0 4
rectangle44 car13 0, 6 7
rectangle45 car17 1, 0 5
rectangle46 car15 0, 0 8
